gene,mean_abs_shap
G4429,0.004041056
G7307,0.0040374673
G3869,0.0040055607
G5358,0.003936642
G7279,0.003920681
G7747,0.0039131045
G917,0.0039078994
G1343,0.0039032842
G1138,0.0038608077
G3492,0.0038538699
G5996,0.0038508617
G7918,0.0038212459
G44,0.0038196903
G4101,0.0037957877
G1932,0.0037779503
G545,0.0037434683
G3429,0.0037430718
G2408,0.0037231017
G5417,0.0037129882
G649,0.0036940712
G5914,0.0036845126
G3273,0.0036640577
G6924,0.0036603347
G7047,0.003653982
G5704,0.003645949
G333,0.0036344156
G6266,0.0036337879
G4897,0.003624137
G374,0.0035744284
G7816,0.0035623345
G8,0.0035570848
G4228,0.0035376449
G7443,0.00352801
G683,0.0035030297
G3717,0.0035003875
G11,0.003492153
G160,0.0034701372
G3329,0.0034543336
G7824,0.0034275786
G7499,0.0034160637
G7629,0.0033238989
G2521,0.003305653
G2941,0.003289779
G2994,0.0032563196
G7992,0.0032489747
G5980,0.0032300383
G5144,0.0032156198
G3101,0.0031927936
G4918,0.0031766582
G7827,0.0031087962
G31,0.0030703326
G2085,0.003052023
G737,0.0030480688
G2897,0.0030313558
G5324,0.0030138772
G343,0.002970885
G7717,0.0028345583
G1652,0.002763427
G1868,0.0027349086
G3178,0.0027274278
G2419,0.002690367
G6838,0.002637878
G3788,0.0025976098
G6540,0.002498334
G595,0.0024781232
G4508,0.0024153548
G3244,0.002401369
G186,0.0023822745
G2737,0.0023626941
G742,0.0023056348
G798,0.0022527871
G1275,0.0022382052
G3682,0.0022244016
G94,0.0022181503
G3232,0.0021786948
G5,0.00210369
G109,0.002088834
G6312,0.0019510327
G180,0.0018549567
G1535,0.001788567
G5986,0.0017723115
G30,0.001742282
G6376,0.0017265506
G2423,0.0016996019
G4180,0.0016870098
G1642,0.0016711603
G5846,0.0015978804
G1391,0.0015766576
G188,0.0015744282
G111,0.0015551888
G90,0.0014840921
G3750,0.0014767388
G291,0.0012905938
G5206,0.0
G5416,0.0
G5415,0.0
G5211,0.0
G5209,0.0
G5210,0.0
G5178,0.0
G5414,0.0
G5448,0.0
G5207,0.0
G5449,0.0
G5413,0.0
G5193,0.0
G5412,0.0
G5411,0.0
G5395,0.0
G5396,0.0
G5452,0.0
G5397,0.0
G5221,0.0
G5220,0.0
G5451,0.0
G5398,0.0
G5219,0.0
G5218,0.0
G5176,0.0
G5400,0.0
G5401,0.0
G5217,0.0
G5402,0.0
G5403,0.0
G5177,0.0
G5404,0.0
G5405,0.0
G5450,0.0
G5406,0.0
G5216,0.0
G5215,0.0
G5407,0.0
G5408,0.0
G5213,0.0
G5212,0.0
G5409,0.0
G5410,0.0
G5179,0.0
G5185,0.0
G5180,0.0
G5429,0.0
G5426,0.0
G5199,0.0
G5427,0.0
G5428,0.0
G5440,0.0
G5190,0.0
G5439,0.0
G5198,0.0
G5438,0.0
G5393,0.0
G5437,0.0
G5197,0.0
G5425,0.0
G5191,0.0
G5436,0.0
G5196,0.0
G5195,0.0
G5194,0.0
G5431,0.0
G5432,0.0
G5435,0.0
G5434,0.0
G5433,0.0
G5192,0.0
G5200,0.0
G5201,0.0
G5181,0.0
G5446,0.0
G5182,0.0
G5183,0.0
G5447,0.0
G5205,0.0
G5184,0.0
G5204,0.0
G5418,0.0
G5419,0.0
G5203,0.0
G5202,0.0
G5186,0.0
G5187,0.0
G5441,0.0
G5420,0.0
G5445,0.0
G5444,0.0
G5188,0.0
G5421,0.0
G5189,0.0
G5422,0.0
G5443,0.0
G5423,0.0
G5442,0.0
G5424,0.0
G5394,0.0
G5312,0.0
G5392,0.0
G5284,0.0
G5275,0.0
G5338,0.0
G5337,0.0
G5336,0.0
G5335,0.0
G5334,0.0
G5277,0.0
G5333,0.0
G5278,0.0
G5279,0.0
G5280,0.0
G5281,0.0
G5332,0.0
G5331,0.0
G5282,0.0
G5283,0.0
G5330,0.0
G5339,0.0
G5274,0.0
G5273,0.0
G5345,0.0
G5349,0.0
G5348,0.0
G5266,0.0
G5267,0.0
G5347,0.0
G5346,0.0
G5268,0.0
G5269,0.0
G5340,0.0
G5270,0.0
G5344,0.0
G5271,0.0
G5343,0.0
G5342,0.0
G5341,0.0
G5272,0.0
G5329,0.0
G5285,0.0
G5391,0.0
G5328,0.0
G5297,0.0
G5298,0.0
G5299,0.0
G5317,0.0
G5301,0.0
G5302,0.0
G5316,0.0
G5303,0.0
G5315,0.0
G5304,0.0
G5305,0.0
G5306,0.0
G5307,0.0
G5308,0.0
G5309,0.0
G5313,0.0
G5310,0.0
G5318,0.0
G5319,0.0
G5320,0.0
G5322,0.0
G5327,0.0
G5286,0.0
G5326,0.0
G5287,0.0
G5325,0.0
G5323,0.0
G5288,0.0
G5289,0.0
G5296,0.0
G5290,0.0
G5291,0.0
G5292,0.0
G5293,0.0
G5321,0.0
G5294,0.0
G5295,0.0
G5265,0.0
G5264,0.0
G5350,0.0
G5351,0.0
G5233,0.0
G5234,0.0
G5235,0.0
G5380,0.0
G5379,0.0
G5236,0.0
G5377,0.0
G5238,0.0
G5376,0.0
G5239,0.0
G5375,0.0
G5240,0.0
G5374,0.0
G5311,0.0
G5242,0.0
G5373,0.0
G5243,0.0
G5232,0.0
G5231,0.0
G5230,0.0
G5386,0.0
G5390,0.0
G5389,0.0
G5388,0.0
G5222,0.0
G5387,0.0
G5223,0.0
G5224,0.0
G5385,0.0
G5382,0.0
G5225,0.0
G5226,0.0
G5227,0.0
G5228,0.0
G5384,0.0
G5383,0.0
G5229,0.0
G5372,0.0
G5371,0.0
G5370,0.0
G5258,0.0
G5254,0.0
G5255,0.0
G5357,0.0
G5356,0.0
G5355,0.0
G5256,0.0
G5257,0.0
G5259,0.0
G5359,0.0
G5260,0.0
G5261,0.0
G5262,0.0
G5354,0.0
G5353,0.0
G5352,0.0
G5263,0.0
G5253,0.0
G5360,0.0
G5369,0.0
G5365,0.0
G5368,0.0
G5244,0.0
G5245,0.0
G5367,0.0
G5366,0.0
G5246,0.0
G5247,0.0
G5248,0.0
G5252,0.0
G5364,0.0
G5249,0.0
G5363,0.0
G5362,0.0
G5250,0.0
G5251,0.0
G5361,0.0
G5241,0.0
G0,0.0
G5453,0.0
G5774,0.0
G5785,0.0
G5784,0.0
G5783,0.0
G5782,0.0
G5781,0.0
G5780,0.0
G5779,0.0
G5778,0.0
G5777,0.0
G5776,0.0
G5775,0.0
G5773,0.0
G5787,0.0
G5772,0.0
G5771,0.0
G5770,0.0
G5769,0.0
G5768,0.0
G5767,0.0
G5766,0.0
G5765,0.0
G5763,0.0
G5762,0.0
G5761,0.0
G5786,0.0
G5788,0.0
G5759,0.0
G5803,0.0
G5814,0.0
G5813,0.0
G5812,0.0
G5811,0.0
G5810,0.0
G5809,0.0
G5808,0.0
G5807,0.0
G5806,0.0
G5805,0.0
G5804,0.0
G5802,0.0
G5790,0.0
G5801,0.0
G5800,0.0
G5799,0.0
G5798,0.0
G5797,0.0
G5796,0.0
G5795,0.0
G5794,0.0
G5793,0.0
G5792,0.0
G5791,0.0
G5760,0.0
G5758,0.0
G5454,0.0
G5715,0.0
G5726,0.0
G5725,0.0
G5724,0.0
G5723,0.0
G5722,0.0
G5721,0.0
G5720,0.0
G5719,0.0
G5718,0.0
G5717,0.0
G5716,0.0
G5714,0.0
G5728,0.0
G5713,0.0
G5712,0.0
G5711,0.0
G5710,0.0
G5709,0.0
G5708,0.0
G5707,0.0
G5706,0.0
G5703,0.0
G5702,0.0
G5701,0.0
G5727,0.0
G5729,0.0
G5757,0.0
G5743,0.0
G5756,0.0
G5755,0.0
G5753,0.0
G5752,0.0
G5751,0.0
G5749,0.0
G5748,0.0
G5747,0.0
G5746,0.0
G5745,0.0
G5744,0.0
G5742,0.0
G5730,0.0
G5741,0.0
G5740,0.0
G5739,0.0
G5738,0.0
G5737,0.0
G5736,0.0
G5735,0.0
G5734,0.0
G5733,0.0
G5732,0.0
G5731,0.0
G5815,0.0
G5816,0.0
G5817,0.0
G5893,0.0
G5905,0.0
G5904,0.0
G5903,0.0
G5902,0.0
G5901,0.0
G5899,0.0
G5898,0.0
G5897,0.0
G5896,0.0
G5895,0.0
G5894,0.0
G5892,0.0
G5907,0.0
G5891,0.0
G5890,0.0
G5889,0.0
G5888,0.0
G5886,0.0
G5885,0.0
G5884,0.0
G5883,0.0
G5882,0.0
G5881,0.0
G5880,0.0
G5906,0.0
G5908,0.0
G5818,0.0
G5923,0.0
G5935,0.0
G5934,0.0
G5933,0.0
G5932,0.0
G5931,0.0
G5930,0.0
G5929,0.0
G5928,0.0
G5927,0.0
G5926,0.0
G5924,0.0
G5922,0.0
G5909,0.0
G5921,0.0
G5920,0.0
G5919,0.0
G5918,0.0
G5917,0.0
G5916,0.0
G5915,0.0
G5913,0.0
G5912,0.0
G5911,0.0
G5910,0.0
G5879,0.0
G5878,0.0
G5877,0.0
G5833,0.0
G5845,0.0
G5844,0.0
G5843,0.0
G5842,0.0
G5840,0.0
G5839,0.0
G5838,0.0
G5837,0.0
G5836,0.0
G5835,0.0
G5834,0.0
G5832,0.0
G5876,0.0
G5830,0.0
G5829,0.0
G5828,0.0
G5827,0.0
G5826,0.0
G5825,0.0
G5824,0.0
G5823,0.0
G5822,0.0
G5821,0.0
G5819,0.0
G5847,0.0
G5848,0.0
G5849,0.0
G5850,0.0
G5875,0.0
G5874,0.0
G5873,0.0
G5872,0.0
G5870,0.0
G5869,0.0
G5868,0.0
G5867,0.0
G5865,0.0
G5864,0.0
G5863,0.0
G5862,0.0
G5861,0.0
G5860,0.0
G5859,0.0
G5858,0.0
G5857,0.0
G5856,0.0
G5855,0.0
G5854,0.0
G5853,0.0
G5852,0.0
G5851,0.0
G5700,0.0
G5699,0.0
G5698,0.0
G5531,0.0
G5543,0.0
G5542,0.0
G5541,0.0
G5540,0.0
G5539,0.0
G5538,0.0
G5537,0.0
G5535,0.0
G5534,0.0
G5533,0.0
G5532,0.0
G5530,0.0
G5545,0.0
G5529,0.0
G5528,0.0
G5527,0.0
G5525,0.0
G5524,0.0
G5523,0.0
G5522,0.0
G5521,0.0
G5520,0.0
G5519,0.0
G5518,0.0
G5544,0.0
G5546,0.0
G5574,0.0
G5561,0.0
G5572,0.0
G5571,0.0
G5570,0.0
G5569,0.0
G5568,0.0
G5567,0.0
G5566,0.0
G5565,0.0
G5564,0.0
G5563,0.0
G5562,0.0
G5560,0.0
G5547,0.0
G5559,0.0
G5558,0.0
G5557,0.0
G5556,0.0
G5555,0.0
G5554,0.0
G5553,0.0
G5552,0.0
G5551,0.0
G5550,0.0
G5548,0.0
G5517,0.0
G5516,0.0
G5515,0.0
G5470,0.0
G5481,0.0
G5480,0.0
G5479,0.0
G5478,0.0
G5477,0.0
G5476,0.0
G5475,0.0
G5474,0.0
G5473,0.0
G5472,0.0
G5471,0.0
G5468,0.0
G5514,0.0
G5467,0.0
G5466,0.0
G5465,0.0
G5463,0.0
G5462,0.0
G5461,0.0
G5459,0.0
G5458,0.0
G5457,0.0
G5456,0.0
G5455,0.0
G5482,0.0
G5483,0.0
G5484,0.0
G5485,0.0
G5512,0.0
G5511,0.0
G5510,0.0
G5509,0.0
G5508,0.0
G5507,0.0
G5505,0.0
G5504,0.0
G5503,0.0
G5502,0.0
G5501,0.0
G5499,0.0
G5498,0.0
G5497,0.0
G5495,0.0
G5494,0.0
G5493,0.0
G5492,0.0
G5491,0.0
G5490,0.0
G5489,0.0
G5488,0.0
G5487,0.0
G5573,0.0
G5575,0.0
G5697,0.0
G5651,0.0
G5663,0.0
G5661,0.0
G5660,0.0
G5659,0.0
G5658,0.0
G5657,0.0
G5656,0.0
G5655,0.0
G5654,0.0
G5653,0.0
G5652,0.0
G5649,0.0
G5665,0.0
G5648,0.0
G5647,0.0
G5646,0.0
G5645,0.0
G5644,0.0
G5643,0.0
G5642,0.0
G5641,0.0
G5640,0.0
G5639,0.0
G5638,0.0
G5664,0.0
G5666,0.0
G5576,0.0
G5684,0.0
G5696,0.0
G5695,0.0
G5694,0.0
G5693,0.0
G5692,0.0
G5691,0.0
G5690,0.0
G5689,0.0
G5688,0.0
G5686,0.0
G5685,0.0
G5683,0.0
G5667,0.0
G5682,0.0
G5680,0.0
G5677,0.0
G5675,0.0
G5674,0.0
G5673,0.0
G5672,0.0
G5671,0.0
G5670,0.0
G5669,0.0
G5668,0.0
G5637,0.0
G5636,0.0
G5635,0.0
G5590,0.0
G5603,0.0
G5602,0.0
G5600,0.0
G5599,0.0
G5598,0.0
G5596,0.0
G5595,0.0
G5594,0.0
G5593,0.0
G5592,0.0
G5591,0.0
G5589,0.0
G5634,0.0
G5588,0.0
G5587,0.0
G5586,0.0
G5585,0.0
G5584,0.0
G5583,0.0
G5582,0.0
G5174,0.0
G5579,0.0
G5578,0.0
G5577,0.0
G5604,0.0
G5605,0.0
G5606,0.0
G5607,0.0
G5633,0.0
G5632,0.0
G5631,0.0
G5630,0.0
G5629,0.0
G5628,0.0
G5627,0.0
G5626,0.0
G5625,0.0
G5624,0.0
G5623,0.0
G5622,0.0
G5621,0.0
G5620,0.0
G5619,0.0
G5618,0.0
G5617,0.0
G5616,0.0
G5614,0.0
G5612,0.0
G5611,0.0
G5610,0.0
G5609,0.0
G5175,0.0
G5030,0.0
G5173,0.0
G4486,0.0
G4499,0.0
G4498,0.0
G4497,0.0
G4496,0.0
G4495,0.0
G4494,0.0
G4493,0.0
G4492,0.0
G4491,0.0
G4490,0.0
G4489,0.0
G4487,0.0
G4485,0.0
G4501,0.0
G4484,0.0
G4483,0.0
G4481,0.0
G4479,0.0
G4478,0.0
G4477,0.0
G4476,0.0
G4475,0.0
G4474,0.0
G4473,0.0
G4472,0.0
G4470,0.0
G4500,0.0
G4502,0.0
G4535,0.0
G4521,0.0
G4533,0.0
G4532,0.0
G4531,0.0
G4530,0.0
G4529,0.0
G4528,0.0
G4527,0.0
G4526,0.0
G4525,0.0
G4524,0.0
G4523,0.0
G4522,0.0
G4520,0.0
G4504,0.0
G4519,0.0
G4518,0.0
G4515,0.0
G4514,0.0
G4513,0.0
G4512,0.0
G4511,0.0
G4510,0.0
G4509,0.0
G4507,0.0
G4506,0.0
G4505,0.0
G4469,0.0
G4468,0.0
G4466,0.0
G4421,0.0
